8563, 'adipose', 'breast', 0.0
8567, 'thyroid', 'muscle', 0.0
8620, 'artery', 'breast', 0.0
8672, 'esophagus', 'colon', 0.0
8695, 'adipose', 'muscle', 0.0
8696, 'esophagus', 'brain', 0.0
8722, 'adipose', 'skin', 0.0
8769, 'nerve', 'heart', 0.0
8792, 'artery', 'nerve', 0.0
8817, 'adipose', 'breast', 0.0
8837, 'thyroid', 'muscle', 0.0
8864, 'esophagus', 'colon', 0.0
8873, 'adipose', 'breast', 0.0
8894, 'artery', 'adipose', 0.0
8977, 'adipose', 'breast', 0.0
8987, 'adrenal', 'adipose', 0.0
9021, 'adipose', 'skin', 0.0
9039, 'artery', 'adipose', 0.0
9061, 'muscle', 'esophagus', 0.0
9136, 'esophagus', 'colon', 0.0
9161, 'adipose', 'skin', 0.0
9193, 'adipose', 'breast', 0.0
9195, 'stomach', 'adipose', 0.0
9239, 'prostate', 'esophagus', 0.0
9252, 'stomach', 'colon', 0.0
9287, 'stomach', 'colon', 0.0
9298, 'breast', 'adipose', 0.0
9339, 'brain', 'whole', 0.0
9435, 'stomach', 'esophagus', 0.0
9451, 'pancreas', 'colon', 0.0
9455, 'artery', 'heart', 0.0
9507, 'adipose', 'breast', 0.0
9521, 'adipose', 'breast', 0.0
9531, 'adipose', 'breast', 0.0
9549, 'artery', 'skin', 0.0
9567, 'colon', 'small', 0.0
9579, 'small', 'colon', 0.0
9609, 'breast', 'adipose', 0.0
9614, 'adipose', 'breast', 0.0
